link,address,dealer,price,beds,baths,area
https://www.zillow.com/homedetails/2443-W-College-Ave-Denver-CO-80219/13381511_zpid/,"2443 W College Avenue, Denver, CO 80219","MLS ID #6309565, MADISON & COMPANY PROPERTIES","$425,000",4,2,"1,460"
https://www.zillow.com/homedetails/1775-Deer-Valley-Rd-Boulder-CO-80305/13178376_zpid/,"1775 Deer Valley Rd, Boulder, CO 80305","COMPASS - BOULDER, Zori Levine","$7,995,000",4,2,"1,460"
https://www.zillow.com/homedetails/1372-Perry-St-Denver-CO-80204/440874115_zpid/,"1372 Perry Street, Denver, CO 80204","MLS ID #6956849, RE/MAX PROFESSIONALS","$789,000",4,2,"1,460"
https://www.zillow.com/homedetails/6154-Belmont-Way-Parker-CO-80134/13477891_zpid/,"6154 Belmont Way, Parker, CO 80134","MLS ID #3608963, HOMESMART","$978,000",4,2,"1,460"
https://www.zillow.com/homedetails/6134-Briarcliff-Rd-Colorado-Springs-CO-80918/13579103_zpid/,"6134 Briarcliff Rd, Colorado Springs, CO 80918",COLORADO HOME REALTY,"$625,000",4,2,"1,460"
https://www.zillow.com/homedetails/5736-Tradewind-Point-Colorado-Springs-CO-80923/13573780_zpid/,"5736 Tradewind Point, Colorado Springs, CO 80923","REAL BROKER, LLC DBA REAL","$369,000",4,2,"1,460"
https://www.zillow.com/homedetails/7830-Delmonico-Dr-Colorado-Springs-CO-80919/13652239_zpid/,"7830 Delmonico Dr, Colorado Springs, CO 80919",YOUR HOME SOLD GUARANTEED REALTY - BARB HAS THE BUYERS TEAM,"$714,999",4,2,"1,460"
https://www.zillow.com/homedetails/12-Red-Tail-Dr-Highlands-Ranch-CO-80126/13435321_zpid/,"12 Red Tail Drive, Littleton, CO 80126","MLS ID #9312707, COMPASS - DENVER","$1,749,880",4,2,"1,460"
https://www.zillow.com/homedetails/1875-Silver-Mesa-Driveway-Durango-CO-81301/117891258_zpid/,"1875 Silver Mesa Driveway, Durango, CO 81301",,"$529,900",2,2,"1,334"
https://www.zillow.com/homedetails/1815-Van-Diest-Rd-Colorado-Springs-CO-80915/13598717_zpid/,"1815 Van Diest Rd, Colorado Springs, CO 80915",OPENDOOR BROKERAGE LLC,"$396,000",2,2,"1,334"
https://www.zillow.com/homedetails/7639-Jackson-School-Rd-Browns-Summit-NC-27214/5977476_zpid/,"7639 Jackson School Rd, Browns Summit, NC 27214",,"$237,500",2,2,"1,334"
https://www.zillow.com/homedetails/868-Oleander-Dr-Loveland-CO-80538/13884002_zpid/,"868 Oleander Dr, Loveland, CO 80538","ELEVATIONS REAL ESTATE, LLC, Stephanie Steward","$1,085,000",2,2,"1,334"
https://www.zillow.com/homedetails/315-Spring-St-Morrison-CO-80465/13799139_zpid/,"315 Spring Street, Morrison, CO 80465","MLS ID #4888621, MB MARSTON AND BLUE","$425,000",2,2,"1,334"
https://www.zillow.com/homedetails/7788-Greenleaf-Ln-Denver-CO-80221/12996023_zpid/,"7788 Greenleaf Lane, Denver, CO 80221","MLS ID #3032990, RE/MAX MOMENTUM","$400,000",2,2,"1,334"
https://www.zillow.com/homedetails/964-Alpensee-Dr-Breckenridge-CO-80424/194081387_zpid/,"964 Alpensee Dr, Breckenridge, CO 80424","YOUR CASTLE SUMMIT, LLC","$2,250,000",2,2,"1,334"
https://www.zillow.com/homedetails/4559-Sunnyhill-Dr-Colorado-Springs-CO-80916/13632364_zpid/,"4559 Sunnyhill Dr, Colorado Springs, CO 80916",HOMESMART,"$369,900",2,2,"1,334"
https://www.zillow.com/homedetails/1265-N-Race-St-APT-304-Denver-CO-80206/13328925_zpid/,"1265 Race Street  Unit 304, Denver, CO 80206","MLS ID #4770227, THRIVE REAL ESTATE GROUP","$335,000",1,1,752
https://www.zillow.com/homedetails/1673-Sinton-Rd-Evergreen-CO-80439/13268549_zpid/,"1673 Sinton Road, Evergreen, CO 80439","MLS ID #4271761, ORCHARD BROKERAGE LLC","$925,000",1,1,752
https://www.zillow.com/homedetails/94-S-Pierce-St-Lakewood-CO-80226/130462230_zpid/,"94 S Pierce Street, Lakewood, CO 80226","MLS ID #8361925, ONE REALTY LLC","$425,000",1,1,752
https://www.zillow.com/homedetails/2560-Blake-St-APT-402-Denver-CO-80205/58684429_zpid/,"2560 Blake Street  Unit 402, Denver, CO 80205","MLS ID #7394947, COMPASS - DENVER","$650,000",1,1,752
https://www.zillow.com/homedetails/8065-Mount-Hayden-Dr-Colorado-Springs-CO-80924/82241552_zpid/,"8065 Mount Hayden Dr, Colorado Springs, CO 80924",SPRINGS HOME FINDERS,"$585,000",1,1,752
https://www.zillow.com/homedetails/761-Conundrum-Crk-Aspen-CO-81611/14001099_zpid/,"761 Conundrum Crk, Aspen, CO 81611",COLDWELL BANKER MASON MORSE-ASPEN,"$18,600,000",1,1,752
https://www.zillow.com/homedetails/3316-S-Newport-St-Denver-CO-80224/13416841_zpid/,"3316 S Newport Street, Denver, CO 80224","MLS ID #4177021, KELLER WILLIAMS TRILOGY","$874,900",1,1,752
https://www.zillow.com/homedetails/291-Palisade-Mountain-Dr-Drake-CO-80515/13849434_zpid/,"291 Palisade Mountain Dr, Drake, CO 80515","KW REALTY NOCO-ESTES, Jeff Abel","$450,000",1,1,752
https://www.zillow.com/homedetails/940-Milwaukee-St-Denver-CO-80206/13326727_zpid/,"940 Milwaukee Street, Denver, CO 80206","MLS ID #2404064, LIV SOTHEBY'S INTERNATIONAL REALTY","$750,000",3,2,"2,404"
https://www.zillow.com/homedetails/3611-E-133rd-Cir-Thornton-CO-80241/12951812_zpid/,"3611 E 133rd Circle, Thornton, CO 80241","MLS ID #3225629, EXP REALTY, LLC","$495,000",3,2,"2,404"
https://www.zillow.com/homedetails/6052-Wadsworth-Blvd-Arvada-CO-80003/13726675_zpid/,"6052 Wadsworth Boulevard, Arvada, CO 80003","MLS ID #6396386, RE/MAX ALLIANCE","$449,900",3,2,"2,404"
https://www.zillow.com/homedetails/7388-Village-Rd-Parker-CO-80134/13477543_zpid/,"7388 Village Road, Parker, CO 80134","MLS ID #9798441, COLORADO HOME REALTY","$1,260,000",3,2,"2,404"
https://www.zillow.com/homedetails/1326-Spraddle-Creek-Rd-Vail-CO-81657/13500988_zpid/,"1326 Spraddle Creek Rd, Vail, CO 81657",COLDWELL BANKER DISTINCTIVE PROPERTIES,"$42,000,000",3,2,"2,404"
https://www.zillow.com/homedetails/1140-S-Fenton-St-Lakewood-CO-80232/13785363_zpid/,"1140 S Fenton Street, Lakewood, CO 80232","MLS ID #7945184, BUY-OUT COMPANY REALTY, LLC","$584,973",3,2,"2,404"
https://www.zillow.com/homedetails/1241-Eastmeadow-Dr-Colorado-Springs-CO-80906/13635716_zpid/,"1241 Eastmeadow Dr, Colorado Springs, CO 80906",CORNERSTONE REAL ESTATE TEAM,"$370,000",3,2,"2,404"
https://www.zillow.com/homedetails/2300-75th-St-Boulder-CO-80301/13253284_zpid/,"2300 N 75th St, Boulder, CO 80301","COMPASS - BOULDER, Patricia Dessel","$11,700,000",3,2,"2,404"
https://www.zillow.com/homedetails/10-Desert-Inn-Way-Colorado-Springs-CO-80921/13556592_zpid/,"10 Desert Inn Way, Colorado Springs, CO 80921",FINCH & GABLE REAL ESTATE COMPANY,"$684,900",5,4,"4,197"
https://www.zillow.com/homedetails/2151-N-24th-St-Grand-Junction-CO-81501/13967896_zpid/,"2151 N 24th St, Grand Junction, CO 81501","LIFESTYLE LIVING REAL ESTATE, LLC. Listing provided by GJARA","$385,000",5,4,"4,197"
https://www.zillow.com/homedetails/824-Pine-St-Trinidad-CO-81082/115552346_zpid/,"824 Pine St, Trinidad, CO 81082","EXP REALTY, LLC. Listing provided by PAR","$150,000",5,4,"4,197"
https://www.zillow.com/homedetails/8930-Elk-Ln-Pueblo-CO-81004/200114903_zpid/,"8930 Elk Ln, Pueblo, CO 81004",SIERRA GRANDE INVESTMENTS LLC,"$498,900",5,4,"4,197"
https://www.zillow.com/homedetails/6438-Holy-Cross-Ct-Castle-Rock-CO-80108/102662490_zpid/,"6438 Holy Cross Court, Castle Rock, CO 80108","MLS ID #6859561, RE/MAX PROFESSIONALS","$5,300,000",5,4,"4,197"
https://www.zillow.com/homedetails/17667-Ponderosa-Ave-Parker-CO-80134/13463908_zpid/,"17667 Ponderosa Avenue, Parker, CO 80134","MLS ID #5788120, HOMESMART","$480,000",5,4,"4,197"
https://www.zillow.com/homedetails/1428-Dayton-St-Aurora-CO-80010/13035603_zpid/,"1428 Dayton Street, Aurora, CO 80010","MLS ID #6892172, MILEHIMODERN","$409,000",5,4,"4,197"
https://www.zillow.com/homedetails/6871-Northstar-Ct-Castle-Rock-CO-80108/121238309_zpid/,"6871 Northstar Court, Castle Rock, CO 80108","MLS ID #4299413, LIV SOTHEBY'S INTERNATIONAL REALTY","$1,235,000",5,4,"4,197"
https://www.zillow.com/homedetails/6305-Apache-Dr-Larkspur-CO-80118/13497116_zpid/,"6305 Apache Dr, Larkspur, CO 80118",RE/MAX ALLIANCE,"$750,000",4,4,"3,777"
https://www.zillow.com/homedetails/27925-Echo-Valley-Ln-Steamboat-Springs-CO-80487/76275198_zpid/,"27925 Echo Valley Ln, Steamboat Springs, CO 80487","THE GROUP REAL ESTATE, LLC","$2,175,000",4,4,"3,777"
https://www.zillow.com/homedetails/6150-Briarcliff-Rd-Colorado-Springs-CO-80918/13579095_zpid/,"6150 Briarcliff Rd, Colorado Springs, CO 80918",COMPASS,"$1,000,000",4,4,"3,777"
https://www.zillow.com/homedetails/4102-W-Union-Ave-Denver-CO-80236/13428694_zpid/,"4102 W Union Avenue, Denver, CO 80236","MLS ID #2871671, REAL BROKER, LLC DBA REAL","$890,000",4,4,"3,777"
https://www.zillow.com/homedetails/68-Bluff-Dr-Leadville-CO-80461/89847449_zpid/,"68 Bluff Drive, Leadville, CO 80461","MLS ID #5504708, ASPEN LEAF REALTY","$495,000",4,4,"3,777"
https://www.zillow.com/homedetails/3929-Spanish-Oaks-Trl-Castle-Rock-CO-80108/121866841_zpid/,"3929 Spanish Oaks Trail, Castle Rock, CO 80108","MLS ID #8118742, HOMESMART","$1,100,000",4,4,"3,777"
https://www.zillow.com/homedetails/231-Haymaker-St-Silverthorne-CO-80498/338229140_zpid/,"231 Haymaker St, Silverthorne, CO 80498",LIV SOTHEBY'S I.R.,"$629,199",4,4,"3,777"
https://www.zillow.com/homedetails/6150-Wilson-Rd-Colorado-Springs-CO-80919/13654966_zpid/,"6150 Wilson Rd, Colorado Springs, CO 80919",BROKERS GUILD REAL ESTATE,"$985,000",4,4,"3,777"
https://www.zillow.com/homedetails/7961-Irish-Dr-Colorado-Springs-CO-80951/71718437_zpid/,"7961 Irish Dr, Colorado Springs, CO 80951",COMPASS,"$499,000",5,3,"3,224"
https://www.zillow.com/homedetails/580-S-Alcott-St-Denver-CO-80219/13358483_zpid/,"580 S Alcott Street, Denver, CO 80219","MLS ID #9426143, YOUR CASTLE REAL ESTATE INC","$799,500",5,3,"3,224"
https://www.zillow.com/homedetails/9040-Gyda-Dr-Arvada-CO-80002/63133172_zpid/,"9040 Gyda Drive, Arvada, CO 80002","MLS ID #4810091, KELLER WILLIAMS INTEGRITY REAL ESTATE LLC","$660,000",5,3,"3,224"
https://www.zillow.com/homedetails/1811-Valley-View-Ln-Fort-Collins-CO-80524/13926415_zpid/,"1811 Valley View Ln, Fort Collins, CO 80524","EXP REALTY - HUB, Chris Phillips","$550,000",5,3,"3,224"
https://www.zillow.com/homedetails/6270-W-110th-Pl-Westminster-CO-80020/13683422_zpid/,"6270 W 110th Pl, Westminster, CO 80020","ST VRAIN REALTY LLC, Analise Contreras","$650,000",5,3,"3,224"
https://www.zillow.com/homedetails/7420-Winter-Berry-Ln-Castle-Pines-CO-80108/52458913_zpid/,"7420 Winter Berry Lane, Castle Pines, CO 80108","MLS ID #3207173, LOGO REAL ESTATE","$749,900",5,3,"3,224"
https://www.zillow.com/homedetails/13368-Hedi-Rd-Woodland-Park-CO-80863/386528773_zpid/,"13368 Hedi Rd, Woodland Park, CO 80863",COLORADO REAL ESTATE COMPANY - JASON J. SMITH,"$699,000",5,3,"3,224"
https://www.zillow.com/homedetails/7971-S-Langdale-Way-Aurora-CO-80016/295017176_zpid/,"7971 S Langdale Way, Aurora, CO 80016","MLS ID #4956844, NOVELLA REAL ESTATE","$2,375,000",5,3,"3,224"
https://www.zillow.com/homedetails/480-Silbrico-Way-Castle-Rock-CO-80108/13484328_zpid/,"480 Silbrico Way, Castle Rock, CO 80108","MLS ID #5919030, LIV SOTHEBY'S INTERNATIONAL REALTY","$1,650,000",6,5,"5,946"
https://www.zillow.com/homedetails/5719-Flicka-Dr-Colorado-Springs-CO-80924/71718545_zpid/,"5719 Flicka Dr, Colorado Springs, CO 80924",RE/MAX REAL ESTATE GROUP LLC,"$810,000",6,5,"5,946"
https://www.zillow.com/homedetails/4851-10th-St-Boulder-CO-80304/13250750_zpid/,"4851 10 Th Street, Boulder, CO 80304","MLS ID #2855926, KELLER WILLIAMS DTC","$999,000",6,5,"5,946"
https://www.zillow.com/homedetails/574-Spur-Ct-Golden-CO-80403/13708845_zpid/,"574 Spur Court, Golden, CO 80403","MLS ID #5537522, REDFIN CORPORATION","$1,200,000",6,5,"5,946"
https://www.zillow.com/homedetails/7172-S-Owens-St-Littleton-CO-80127/13828917_zpid/,"7172 S Owens Street, Littleton, CO 80127","MLS ID #8607076, RE/MAX PROFESSIONALS","$774,900",6,5,"5,946"
https://www.zillow.com/homedetails/9201-Palomino-Dr-Castle-Rock-CO-80108/13463134_zpid/,"9201 N Palomino Drive, Castle Rock, CO 80108","MLS ID #7387497, KELLER WILLIAMS DTC","$1,225,000",6,5,"5,946"
https://www.zillow.com/homedetails/34103-Forest-Park-Dr-Elizabeth-CO-80107/13527233_zpid/,"34103 Forest Park Drive, Elizabeth, CO 80107","MLS ID #8797894, BERKSHIRE HATHAWAY HOMESERVICES ROCKY MOUNTAIN, REALTORS","$600,000",6,5,"5,946"
https://www.zillow.com/homedetails/18611-E-50th-Pl-Denver-CO-80249/131664214_zpid/,"18611 E 50th Place, Denver, CO 80249","MLS ID #4074910, JPAR - PLATINUM","$435,000",6,5,"5,946"
https://www.zillow.com/homedetails/902-Cumberland-Dr-Jefferson-CO-80456/13988054_zpid/,"902 Cumberland Drive, Jefferson, CO 80456","MLS ID #3583581, ENGEL & VOLKERS DENVER","$189,900",2,1,960
https://www.zillow.com/homedetails/118-Big-Bend-Ct-Durango-CO-81301/72298887_zpid/,"118 Big Bend Ct, Durango, CO 81301",,"$994,500",2,1,960
https://www.zillow.com/homedetails/5872-S-Logan-St-Centennial-CO-80121/13151044_zpid/,"5872 S Logan Street, Centennial, CO 80121","MLS ID #3796214, REALTY ONE GROUP PREMIER COLORADO","$1,250,000",2,1,960
https://www.zillow.com/homedetails/73-Onawa-Rd-Red-Feather-Lakes-CO-80545/13853899_zpid/,"73 Onawa Way, Red Feather Lakes, CO 80545","PONDEROSA REALTY ASSOCIATES, Lon C. Hughes","$149,000",2,1,960
https://www.zillow.com/homedetails/5430-Murr-Rd-Peyton-CO-80831/13677671_zpid/,"5430 Murr Road, Peyton, CO 80831","MLS ID #4289389, FLATWATER REALTY","$1,950,000",2,1,960
https://www.zillow.com/homedetails/5792-Pomona-Dr-Arvada-CO-80003/13692859_zpid/,"5792 Pomona Drive, Arvada, CO 80003","MLS ID #6726704, THRIVE REAL ESTATE GROUP","$795,000",2,1,960
https://www.zillow.com/homedetails/38-Pitkin-Way-Aspen-CO-81611/66694733_zpid/,"38 Pitkin Way, Aspen, CO 81611",ASPEN INTERNATIONAL PROPERTIES,"$35,995,000",2,1,960
https://www.zillow.com/homedetails/45511-County-Rd-N-Burlington-CO-80807/194185669_zpid/,"45511 County Road N, Burlington, CO 80807","MLS ID #2539010, GATEWAY REALTY I-70 LLC","$440,000",2,1,960
https://www.zillow.com/homedetails/1300-S-Parker-Rd-APT-201-Denver-CO-80231/13045033_zpid/,"1300 S Parker Road  Unit 201, Denver, CO 80231","MLS ID #5326522, CHAMPION REALTY","$49,900",1,1,625
https://www.zillow.com/homedetails/9222-E-53rd-Ave-Denver-CO-80238/131677804_zpid/,"9222 E 53rd Avenue, Denver, CO 80238","MLS ID #9954795, COMPASS - DENVER","$1,250,000",1,1,625
https://www.zillow.com/homedetails/6623-Thistlewood-St-Colorado-Springs-CO-80923/69307488_zpid/,"6623 Thistlewood St, Colorado Springs, CO 80923",THE CUTTING EDGE,"$535,000",1,1,625
https://www.zillow.com/homedetails/191-Boulder-Dr-Craig-CO-81625/104589105_zpid/,"191 Boulder Dr, Craig, CO 81625",COUNTRY LIVING REALTY,"$120,000",1,1,625
https://www.zillow.com/homedetails/1500-E-5th-Ave-Denver-CO-80218/13345732_zpid/,"1500 E 5th Avenue, Denver, CO 80218","MLS ID #1586333, MILEHIMODERN","$1,995,000",1,1,625
https://www.zillow.com/homedetails/21-W-Polk-St-Colorado-Springs-CO-80907/13591772_zpid/,"21 W Polk Street, Colorado Springs, CO 80907","MLS ID #7317351, NATIONAL INVESTOR REALTY","$549,000",1,1,625
https://www.zillow.com/homedetails/17907-Blue-Opal-Ct-Monument-CO-80132/181740086_zpid/,"17907 Blue Opal Ct, Monument, CO 80132",KELLER WILLIAMS PREMIER REALTY,"$700,000",1,1,625
https://www.zillow.com/homedetails/24001-Highway-84-Chromo-CO-81128/442698537_zpid/,"24001 Highway 84, Chromo, CO 81128",,"$1,999,900",1,1,625
https://www.zillow.com/homedetails/0-Alamosa-Ave-Blanca-CO-81123/2103735259_zpid/,"0 Alamosa Ave, Blanca, CO 81123","MLS ID #3072977, COLORADO REALTY & LAND CO.","$90,000",4,2,"1,500"
https://www.zillow.com/homedetails/206-E-3rd-High-St-Central-City-CO-80427/245924424_zpid/,"206 E 3rd High Street, Central City, CO 80427","MLS ID #5545054, HERITAGE WEST REALTY LLC","$525,000",4,2,"1,500"
https://www.zillow.com/homedetails/110-Wasatch-Ln-Montrose-CO-81403/2053123689_zpid/,"110 Wasatch Ln, Montrose, CO 81403",,"$2,400,000",4,2,"1,500"
https://www.zillow.com/homedetails/2586-County-Road-12-Alma-CO-80420/343983273_zpid/,"2586 County Road 12, Alma, CO 80420",LIV SOTHEBY'S I.R.,"$349,000",4,2,"1,500"
https://www.zillow.com/homedetails/2524-S-Rifle-St-Aurora-CO-80013/13078168_zpid/,"2524 S Rifle Street, Aurora, CO 80013","MLS ID #7560107, H&CO REAL ESTATE LLC","$459,000",4,2,"1,500"
https://www.zillow.com/homedetails/9901-E-Evans-Ave-APT-7D-Denver-CO-80247/13054691_zpid/,"9901 E Evans Avenue  Unit 7d, Aurora, CO 80247","MLS ID #8981692, THRIVE REAL ESTATE GROUP","$325,000",4,2,"1,500"
https://www.zillow.com/homedetails/1922-S-Oneida-St-Denver-CO-80224/13411690_zpid/,"1922 S Oneida Street, Denver, CO 80224","MLS ID #7825901, LIV SOTHEBY'S INTERNATIONAL REALTY","$995,000",4,2,"1,500"
https://www.zillow.com/homedetails/2807-W-12th-St-Greeley-CO-80634/14065140_zpid/,"2807 W 12th St, Greeley, CO 80634","EXP REALTY - HUB, Tanya Kensley","$385,000",4,2,"1,500"
https://www.zillow.com/homedetails/1170-Alter-Way-Broomfield-CO-80020/60237167_zpid/,"1170 Alter Way, Broomfield, CO 80020","MLS ID #7002051, REDFIN CORPORATION","$519,000",4,2,"1,370"
